Episode,A2C_Reward,A3C_Reward,A2C_Steps,A3C_Steps,A2C_Loss,A3C_Loss
86,94.0,45.0,94,45,0.39486464858055115,0.4640653729438782
87,27.0,19.0,27,19,0.32343387603759766,0.20461900532245636
88,23.0,42.0,23,42,0.22977282106876373,0.15882283449172974
89,26.0,59.0,26,59,0.2434680163860321,0.2770228385925293
90,85.0,57.0,85,57,0.23339231312274933,0.35061824321746826
91,50.0,35.0,50,35,0.1974732130765915,0.48827072978019714
92,44.0,113.0,44,113,0.1812785118818283,0.43522247672080994
93,43.0,16.0,43,16,0.115604467689991,0.44119104743003845
94,96.0,39.0,96,39,0.30474022030830383,0.21088863909244537
95,116.0,86.0,116,86,0.9071189165115356,0.9290081262588501
96,67.0,20.0,67,20,0.1915801614522934,0.24892577528953552
97,35.0,22.0,35,22,0.21048517525196075,0.2919389605522156
98,53.0,21.0,53,21,0.37476789951324463,0.36761167645454407
99,83.0,63.0,83,63,0.2581290900707245,0.30097389221191406
100,35.0,24.0,35,24,0.18903715908527374,0.2044602781534195
101,29.0,57.0,29,57,0.20373934507369995,0.46875491738319397
102,42.0,29.0,42,29,0.1845090538263321,0.4038967788219452
103,126.0,52.0,126,52,0.2687644362449646,0.5980321764945984
104,152.0,81.0,152,81,0.3067065477371216,0.5384966731071472
105,29.0,57.0,29,57,0.9050202965736389,0.5341981649398804
106,89.0,139.0,89,139,0.2554946541786194,0.5265342593193054
107,91.0,131.0,91,131,0.39911115169525146,0.20007969439029694
108,76.0,79.0,76,79,0.21763621270656586,0.12818822264671326
109,47.0,227.0,47,227,0.17425167560577393,0.12317885458469391
110,26.0,110.0,26,110,0.31749415397644043,0.12914982438087463
111,46.0,63.0,46,63,0.3767733573913574,0.5236268639564514
112,110.0,195.0,110,195,1.858677625656128,0.479081392288208
113,85.0,146.0,85,146,0.4020635485649109,0.5304121375083923
114,70.0,113.0,70,113,0.37947791814804077,0.5375075936317444
115,115.0,98.0,115,98,0.43035823106765747,0.2709527313709259
116,24.0,141.0,24,141,0.5309625267982483,0.14885425567626953
117,144.0,108.0,144,108,0.2964973747730255,0.3617700934410095
118,71.0,59.0,71,59,0.2509925663471222,0.11368390172719955
119,55.0,36.0,55,36,0.21345867216587067,0.06810951232910156
120,20.0,33.0,20,33,0.5323193073272705,0.07323431223630905
121,103.0,153.0,103,153,1.4007716178894043,-0.03886621072888374
122,44.0,290.0,44,290,0.45266661047935486,0.06441861391067505
123,60.0,143.0,60,143,0.2038629800081253,0.5027558207511902
124,188.0,161.0,188,161,1.7680621147155762,1.2971713542938232
125,25.0,204.0,25,204,0.6150147914886475,0.3024660646915436
126,141.0,214.0,141,214,0.34765949845314026,0.15667590498924255
127,22.0,153.0,22,153,0.04046721011400223,0.06840918213129044
128,108.0,152.0,108,152,0.1229049563407898,0.16498494148254395
129,95.0,95.0,95,95,1.8399535417556763,-0.0016643740236759186
130,67.0,217.0,67,217,0.13327035307884216,0.0987185463309288
131,137.0,155.0,137,155,0.9090430736541748,0.0710020661354065
132,72.0,148.0,72,148,0.255807101726532,0.08115825802087784
133,123.0,98.0,123,98,0.24541297554969788,0.10316670686006546
134,64.0,98.0,64,98,0.1656835675239563,0.1751214563846588
135,211.0,271.0,211,271,0.04864206910133362,0.2572370171546936
136,75.0,172.0,75,172,0.21418406069278717,0.31319230794906616
137,227.0,338.0,227,338,0.36325353384017944,0.2597442865371704
138,161.0,272.0,161,272,0.32246318459510803,0.0811639055609703
139,173.0,240.0,173,240,0.09376288205385208,0.520673394203186
140,44.0,184.0,44,184,0.08234848827123642,0.2316700518131256
141,64.0,222.0,64,222,0.3392523527145386,-0.06743983179330826
142,59.0,171.0,59,171,0.06252221763134003,0.31176549196243286
143,158.0,190.0,158,190,0.3581709861755371,0.09501644223928452
144,167.0,271.0,167,271,0.43848270177841187,-0.03407418727874756
145,152.0,201.0,152,201,0.41963115334510803,0.3176344335079193
146,76.0,195.0,76,195,0.12393362820148468,0.4825498163700104
147,34.0,71.0,34,71,0.29173436760902405,0.050530701875686646
148,144.0,223.0,144,223,0.2881757318973541,0.16199396550655365
149,119.0,166.0,119,166,0.5373134016990662,0.028442317619919777
150,149.0,138.0,149,138,0.19357182085514069,0.28242531418800354
151,145.0,44.0,145,44,0.15630888938903809,0.5131067633628845
152,87.0,14.0,87,14,0.15111103653907776,0.44241398572921753
153,205.0,18.0,205,18,0.16824038326740265,0.4326828718185425
154,318.0,33.0,318,33,0.08763427287340164,0.5338735580444336
155,56.0,15.0,56,15,0.07231474667787552,0.44335928559303284
156,28.0,41.0,28,41,0.06645596027374268,0.4962198734283447
